,Date,symbol,open,high,low,close,volume,per_of_change,ema_3,ema_9,ema_50,ema_200,Gain,Loss,AvgGain,AvgLoss,RS,RSI,RSI_Highest_High,RSI_Lowest_Low,14_Day_Stoch_RSI,RSI_K_Line,RSI_D_Line,EMA9_EMA50_EMA200,Purchase_Sell,buy_sell_condition,Open_Position,Running_PnL,Strategy_Return,Buy_Hold_Return
0,2020-09-17,UNI1-USD,1.0994110107421875,4.440884113311768,0.4189980030059814,3.470818042755127,1762718357,0.0,,,,,0.0,0.0,,,,,,,,,,False,0.0,,0,0.0,-100.0,161.63
1,2020-09-18,UNI1-USD,3.488152980804444,8.438536643981934,3.261756896972656,6.897256851196289,6061110198,98.721,,,,,3.426438808441162,0.0,,,,,,,,,,False,0.0,,0,0.0,,
2,2020-09-19,UNI1-USD,6.945577144622803,7.443274974822998,5.3217949867248535,5.724463939666748,2447471305,-17.004,5.454250693321228,,,,0.0,1.172792911529541,,,,,,,,,,False,0.0,,0,0.0,,
3,2020-09-20,UNI1-USD,5.72051477432251,6.050325870513916,4.720210075378418,5.244194984436035,1554143599,-8.39,5.349222838878632,,,,0.0,0.4802689552307129,,,,,,,,,,False,0.0,,0,0.0,,
4,2020-09-21,UNI1-USD,5.244194984436035,5.62215518951416,4.160743236541748,4.266078948974609,1329464490,-18.651,4.8076508939266205,,,,0.0,0.9781160354614258,,,,,,,,,,False,0.0,,0,0.0,,
5,2020-09-22,UNI1-USD,4.27501392364502,4.554091930389404,3.755039930343628,3.9051380157470703,816282684,-8.461,4.356394454836845,,,,0.0,0.36094093322753906,,,,,,,,,,False,0.0,,0,0.0,,
6,2020-09-23,UNI1-USD,3.917943954467773,4.707647800445557,3.916562080383301,4.653264999389648,964205457,19.158,4.504829727113247,,,,0.7481269836425781,0.0,,,,,,,,,,False,0.0,,0,0.0,,
7,2020-09-24,UNI1-USD,4.448575973510742,5.249794960021973,4.448575019836426,5.137266159057617,1168427377,10.401,4.821047943085432,,,,0.48400115966796875,0.0,,,,,,,,,,False,0.0,,0,0.0,,
8,2020-09-25,UNI1-USD,5.160446166992188,5.528678894042969,4.848576068878174,5.012951850891113,882242519,-2.42,4.916999896988273,4.6849430933618175,,,0.0,0.1243143081665039,,,,,,,,,,False,0.0,,0,0.0,,
9,2020-09-26,UNI1-USD,5.011349201202393,5.225045204162598,4.737246036529541,4.805881023406982,463707078,-4.131,4.8614404601976275,4.70913067937085,,,0.0,0.20707082748413086,,,,,,,,,,False,0.0,,0,0.0,,
10,2020-09-27,UNI1-USD,4.802268981933594,5.442522048950195,4.72870397567749,4.7808990478515625,444099192,-0.52,4.821169754024595,4.7234843530669925,,,0.0,0.024981975555419922,,,,,,,,,,False,0.0,,0,0.0,,
11,2020-09-28,UNI1-USD,4.781429767608643,4.937264919281006,4.164315223693848,4.187979221343994,435788116,-12.402,4.504574487684295,4.616383326722393,,,0.0,0.5929198265075684,,,,,,,,,,False,0.0,,0,0.0,,
12,2020-09-29,UNI1-USD,4.187973976135254,4.417395114898682,4.118353843688965,4.417379856109619,356399047,5.478,4.460977171896957,4.576582632599838,,,0.229400634765625,0.0,,,,,,,,,,False,0.0,,0,0.0,,
13,2020-09-30,UNI1-USD,4.448182106018066,4.448671817779541,3.9218928813934326,4.013014793395996,375777187,-9.154,4.2369959826464765,4.46386906475907,,,0.0,0.40436506271362305,0.34914054189409527,0.31041220256260466,1.1247642296654874,52.9359546796665,,,,,,False,0.0,,0,0.0,,
14,2020-10-01,UNI1-USD,4.014051914215088,4.506503105163574,3.974045991897583,4.259864807128906,701098958,6.151,4.248430394887691,4.423068213233037,,,0.24685001373291016,0.0,0.3667726857321603,0.31041220256260466,1.1815665837369547,54.16138075020238,,,,,,False,0.0,,0,0.0,,
15,2020-10-02,UNI1-USD,4.261799812316895,4.2922210693359375,3.6655540466308594,3.785897970199585,646428104,-11.126,4.017164182543638,4.295634164626347,,,0.0,0.4739668369293213,0.12202705655779157,0.3442669766289847,0.35445472508767434,26.16955137165847,,,,,,False,0.0,,0,0.0,,
16,2020-10-03,UNI1-USD,3.7836039066314697,4.124611854553223,3.7492868900299072,3.791614055633545,359042995,0.151,3.9043891190885915,4.1948301428277865,,,0.005716085433959961,0.0,0.122435348374503,0.2604960543768747,0.47000845624083315,31.973180442972307,,,,,,False,0.0,,0,0.0,,
17,2020-10-04,UNI1-USD,3.797646999359131,3.8160879611968994,3.616776943206787,3.668925046920776,413697306,-3.236,3.786657083004684,4.089649123646384,,,0.0,0.122689008712769,0.122435348374503,0.23495462962559294,0.5211020892399835,34.25819298561028,,,,,,False,0.0,,0,0.0,,
18,2020-10-05,UNI1-USD,3.668925046920776,3.716207981109619,3.3412559032440186,3.4192049503326416,497456257,-6.806,3.602931016668663,3.955560288983636,,,0.0,0.24972009658813432,0.122435348374503,0.1829263482775007,0.6693149976884009,40.095188662130326,,,,,,False,0.0,,0,0.0,,
19,2020-10-06,UNI1-USD,3.416883945465088,3.416883945465088,2.721012115478516,2.8342409133911133,681166626,-17.108,3.218585965029888,3.7312964138651314,,,0.0,0.5849640369415283,0.122435348374503,0.19892799854278564,0.6154756960879465,38.09872829274926,,,,,,False,0.0,,0,0.0,,
20,2020-10-07,UNI1-USD,2.8423221111297607,2.9886670112609863,2.4628679752349854,2.8000640869140625,664950267,-1.206,3.0093250259719753,3.545049948474918,,,0.0,0.03417682647705078,0.06899770668574742,0.20136920043400355,0.3426428000758767,25.520026626330775,,,,,,False,0.0,,0,0.0,,
21,2020-10-08,UNI1-USD,2.79732608795166,3.417099952697754,2.5826079845428467,3.27030611038208,717724262,16.794,3.1398155681770277,3.4901011808563505,,,0.4702420234680176,0.0,0.06801491124289376,0.20136920043400355,0.33776223521920806,25.248300955652383,,,,,,False,0.0,,0,0.0,,
22,2020-10-09,UNI1-USD,3.2856600284576416,3.555273056030273,2.9953999519348145,3.09736704826355,672751181,-5.288,3.1185913082202887,3.411554354337791,,,0.0,0.17293906211853027,0.06801491124289376,0.20484239714486258,0.3320353217444251,24.92691569992256,,,,,,False,0.0,,0,0.0,,
23,2020-10-10,UNI1-USD,3.0818119049072266,3.632204055786133,3.054928064346313,3.3315269947052,562610977,7.56,3.2250591514627445,3.395548882411273,,,0.2341599464416504,0.0,0.08474062170301165,0.19005162375313894,0.4458821241805468,30.83806879715388,,,,,,False,0.0,,0,0.0,,
24,2020-10-11,UNI1-USD,3.331238985061645,3.4421749114990234,3.2507429122924805,3.387239933013916,411091368,1.672,3.3061495422383302,3.393887092531802,,,0.05571293830871582,0.0,0.08872011729649135,0.18826719692775182,0.4712457546735451,32.030390108286824,,,,,,False,0.0,,0,0.0,,
25,2020-10-12,UNI1-USD,3.379020929336548,3.4290430545806885,3.203084945678711,3.260261058807373,558369285,-3.749,3.2832053005228516,3.367161885786916,,,0.0,0.12697887420654297,0.08872011729649135,0.15498570033482142,0.572440664556962,36.40459557297497,,,,,,False,0.0,,0,0.0,,
26,2020-10-13,UNI1-USD,3.2616729736328125,3.622659921646118,3.235384941101074,3.4972660541534424,383311535,7.27,3.390235677338147,3.3931827194602215,,,0.23700499534606934,0.0,0.08926328590938024,0.15498570033482142,0.575945301511955,36.54602104269708,54.16138075020238,24.92691569992256,0.3974454577085994,,,False,0.0,,0,0.0,,
27,2020-10-14,UNI1-USD,3.5001790523529053,3.5824520587921143,2.648806095123291,3.0820229053497314,516845493,-11.873,3.2361292913439392,3.3309507566381233,,,0.0,0.41524314880371094,0.08926328590938024,0.15576270648411342,0.5730722579508105,36.43012932523093,54.16138075020238,24.92691569992256,0.3934812422777089,0.39546334999315413,,False,0.0,,0,0.0,,
28,2020-10-15,UNI1-USD,3.0773489475250244,3.0774099826812744,2.86653995513916,2.906949043273926,439092200,-5.68,3.0715391673089325,3.246150413965284,,,0.0,0.17507386207580566,0.07163114207131523,0.16826798234667098,0.42569680263794035,29.85885932059898,40.095188662130326,24.92691569992256,0.325148659505569,0.35931495089163895,,False,0.0,,0,0.0,,
29,2020-10-16,UNI1-USD,2.9083828926086426,3.1633551120758057,2.805558919906616,3.034976959228516,578856190,4.404,3.053258063268724,3.2039157230179307,,,0.1280279159545903,0.0,0.0807759932109288,0.13441320828029088,0.6009527950741806,37.537196407239186,40.095188662130326,24.92691569992256,0.8313590307041244,0.5782538451048467,0.4868585975490004,False,0.0,,0,0.0,,
30,2020-10-17,UNI1-USD,3.0373730659484863,3.085675001144409,2.9605278968811035,3.000683069229126,274343380,-1.13,3.026970566248925,3.16326919226017,,,0.0,0.03429388999939009,0.08036770139421738,0.1368627718516759,0.5872137492678823,36.9965135155073,40.095188662130326,24.92691569992256,0.7957133844872472,0.8135362075956858,0.5864255792436623,False,0.0,,0,0.0,,
31,2020-10-18,UNI1-USD,2.99507999420166,3.276798963546753,2.9827609062194824,3.2668590545654297,270238697,8.871,3.1469148104071776,3.183987164721222,,,0.2661759853363037,0.0,0.09938027177538193,0.12809927122933523,0.775806691339111,43.687564368511644,43.687564368511644,24.92691569992256,1.0,0.8978566922436236,0.7380552686742352,False,0.0,,0,0.0,,
32,2020-10-19,UNI1-USD,3.274674892425537,3.2818660736083984,3.1287379264831543,3.177664041519165,353126948,-2.73,3.1622894259631713,3.1827225400808112,,,0.0,0.08919501304626465,0.09938027177538193,0.1166331938334874,0.8520753698750908,46.006516998957615,46.006516998957615,24.92691569992256,1.0,1.0,0.906768103797843,False,0.0,,0,0.0,,
33,2020-10-20,UNI1-USD,3.173583030700684,3.181297063827514,2.821474075317383,2.869800090789795,542347476,-9.688,3.0160447583764833,3.120138050222608,,,0.0,0.3078639507293701,0.09938027177538193,0.09684033053261897,1.026228134794598,50.64721573904256,50.64721573904256,24.92691569992256,1.0,1.0,0.9489283461218119,False,0.0,,0,0.0,,
34,2020-10-21,UNI1-USD,2.8618969917297363,3.065713882446289,2.8508310317993164,2.9413740634918213,641102100,2.494,2.9787094109341523,3.084385252876451,,,0.07157397270202637,0.0,0.10449269839695526,0.09439912864140106,1.1069243953924317,52.537452118031894,52.537452118031894,24.92691569992256,1.0,1.0,1.0,False,0.0,,0,0.0,,
35,2020-10-22,UNI1-USD,2.9408481121063232,3.139806032180786,2.930285930633545,3.03944993019104,490414767,3.334,3.0090796705625964,3.0753981883393693,,,0.09807586669921875,0.0,0.0779094014848982,0.09439912864140106,0.8253190745102822,45.21505779649558,52.537452118031894,24.92691569992256,0.7347971002572168,0.8673985501286083,0.9336992750643042,False,0.0,,0,0.0,,
36,2020-10-23,UNI1-USD,3.0440731048583984,3.1202809810638428,2.974442958831787,3.012190103530884,340365373,-0.897,3.01063488704674,3.0627565713776725,,,0.0,0.02725982666015625,0.0779094014848982,0.08399346896580291,0.9275649933760709,48.12107485680519,52.537452118031894,29.85885932059898,0.805262288508191,0.770029694382704,0.885014847191352,False,0.0,,0,0.0,,
37,2020-10-24,UNI1-USD,3.012190103530884,3.083292007446289,2.9377100467681885,2.943257093429565,228726426,-2.288,2.9769459902381525,3.0388566757880513,,,0.0,0.0689330101013188,0.06118369102478031,0.0889172554016114,0.6880969362856819,40.761695699756494,52.537452118031894,29.85885932059898,0.4807545369566163,0.6430084127324037,0.755203481430506,False,0.0,,0,0.0,,
38,2020-10-25,UNI1-USD,2.943257093429565,2.966797113418579,2.7299389839172363,2.775747060775757,280177013,-5.691,2.8763465255069547,2.9862347527855926,,,0.0,0.16751003265380815,0.057204195431300606,0.10088225773402626,0.5670392070538126,36.18538735351121,52.537452118031894,29.85885932059898,0.27896475277021404,0.3798596448634152,0.5749446696230595,False,0.0,,0,0.0,,
39,2020-10-26,UNI1-USD,2.775747060775757,2.8681530952453613,2.5507009029388428,2.725903034210205,402513710,-1.796,2.80112477985858,2.934168409070515,,,0.0,0.04984402656555176,0.057204195431300606,0.09537262575966975,0.599796796781604,37.49206136605893,52.537452118031894,29.85885932059898,0.33658182029371686,0.3077732865319655,0.47539084963218453,False,0.0,,0,0.0,,
40,2020-10-27,UNI1-USD,2.725903034210205,2.9005489349365234,2.710788011550904,2.8223989009857178,374717069,3.54,2.811761840422149,2.9118145074535557,,,0.0964958667755127,0.0,0.04716782910483227,0.09537262575966975,0.49456359966109004,33.090836667856635,52.537452118031894,29.85885932059898,0.1425122526836628,0.23954703648868989,0.30970334067605254,False,0.0,,0,0.0,,
41,2020-10-28,UNI1-USD,2.8223989009857178,2.850339889526367,2.5993618965148926,2.6761159896850586,382606652,-5.183,2.7439389150536035,2.8646748038998564,,,0.0,0.14628291130065918,0.04716782910483227,0.07616118022373748,0.6193158898833775,38.24552662964237,52.537452118031894,29.85885932059898,0.3698054541546648,0.2561588534191639,0.2819660699755646,False,0.0,,0,0.0,,
42,2020-10-29,UNI1-USD,2.6761159896850586,2.7345690727233887,2.4940900802612305,2.5416159629821777,452924614,-5.026,2.6427774390178906,2.8000630357163208,,,0.0,0.13450002670288086,0.04716782910483227,0.07326304912567141,0.6438147151632082,39.16589316450341,52.537452118031894,33.090836667856635,0.3123965973519584,0.3411010257533117,0.2903240311210007,False,0.0,,0,0.0,,
43,2020-10-30,UNI1-USD,2.541616916656494,2.554728984832764,2.265244960784912,2.414167881011963,407724693,-5.014,2.528472660014927,2.7228840047754495,,,0.0,0.12744808197021484,0.03802297796521868,0.08236648355211533,0.46163167741840766,31.583310936019117,52.537452118031894,31.583310936019117,0.0,0.15619829867597926,0.2061785760475715,False,0.0,,0,0.0,,
