,Date,symbol,open,high,low,close,volume,per_of_change,ema_3,ema_9,ema_50,ema_200,Gain,Loss,AvgGain,AvgLoss,RS,RSI,RSI_Highest_High,RSI_Lowest_Low,14_Day_Stoch_RSI,RSI_K_Line,RSI_D_Line,EMA9_EMA50_EMA200,Purchase_Sell,buy_sell_condition,Open_Position,Running_PnL,Strategy_Return,Buy_Hold_Return
24,2021-05-10,SHIB-USD,1.5999999959603883e-05,3.899999865097925e-05,1.4000000192027072e-05,3.5000000934815034e-05,19546576207,118.75,2.38120154555821e-05,1.2662599915467687e-05,,,1.900000097521115e-05,0.0,2.428571495524271e-06,0.0,inf,100.0,,,,,,False,0.0,,0,0.0,,
25,2021-05-11,SHIB-USD,3.5000000934815034e-05,3.7999998312443495e-05,2.8000000384054147e-05,3.099999958067201e-05,9743912953,-11.429,2.7406007518127056e-05,1.633007984850855e-05,,,0.0,4.0000013541430235e-06,2.428571495524271e-06,2.857143824387874e-07,8.499997356781918,89.47368128175201,,,,,,False,0.0,,0,0.0,,
26,2021-05-12,SHIB-USD,2.999999924213625e-05,3.099999958067201e-05,1.8000000636675395e-05,1.8000000636675395e-05,7320441816,-41.935,2.2703004077401227e-05,1.666406400614192e-05,,,0.0,1.2999998943996616e-05,2.428571495524271e-06,1.2142857355814028e-06,2.000000020062383,66.66666688958203,100.0,33.33333333333333,0.5000000033437305,,,False,0.0,,0,0.0,,
27,2021-05-13,SHIB-USD,1.8000000636675395e-05,2.4000000848900527e-05,1.4999999621068127e-05,2.099999983329326e-05,6879491005,16.667,2.1851501955347243e-05,1.753125117157219e-05,,,2.999999196617864e-06,0.0,2.642857152425547e-06,1.2142857355814028e-06,2.17647055794503,68.51851821831664,100.0,33.33333333333333,0.5277777732747497,0.5138888883092401,,False,0.0,,0,0.0,,
28,2021-05-14,SHIB-USD,2.099999983329326e-05,2.200000017182901e-05,1.8000000636675395e-05,1.8999999156221747e-05,2909604830,-9.524,2.0425750555784497e-05,1.7825000768502103e-05,,,0.0,2.0000006770715117e-06,2.571428581177315e-06,1.3571429268007966e-06,1.894736752037579,65.45454437968809,100.0,33.33333333333333,0.4818181656953214,0.5047979694850355,,False,0.0,,0,0.0,,
29,2021-05-15,SHIB-USD,1.8000000636675395e-05,1.8999999156221747e-05,1.4999999621068127e-05,1.5999999959603883e-05,2607873205,-15.789,1.821287525769419e-05,1.746000060672246e-05,,,0.0,2.999999196617864e-06,2.571428581177315e-06,1.5714285837020725e-06,1.636363629786712,62.068965422615,100.0,33.33333333333333,0.43103448133922506,0.4564263235172732,0.4851576059132567,False,0.0,,0,0.0,,
30,2021-05-16,SHIB-USD,1.5999999959603883e-05,1.9999999494757503e-05,1.2999999853491316e-05,1.8000000636675395e-05,3225440403,12.5,1.8106437947184793e-05,1.7568000612713044e-05,,,2.0000006770715117e-06,0.0,2.7142857723967088e-06,1.5714285837020725e-06,1.7272727507617431,63.3333336491301,100.0,33.33333333333333,0.4500000047369515,0.44051724303808826,0.47265760626156195,False,0.0,,0,0.0,,
31,2021-05-17,SHIB-USD,1.8000000636675395e-05,1.8000000636675395e-05,1.4000000192027072e-05,1.5999999959603883e-05,3466116394,-11.111,1.7053218953394336e-05,1.7254400482091213e-05,,,0.0,2.0000006770715117e-06,2.7142857723967088e-06,1.7142857749214663e-06,1.58333331122756,61.2903222494036,100.0,50.0,0.22580644498807204,0.3379032248625118,0.3971647741898925,False,0.0,,0,0.0,,
32,2021-05-18,SHIB-USD,1.700000029813964e-05,1.8000000636675395e-05,1.4999999621068127e-05,1.5999999959603883e-05,1743302789,0.0,1.652660945649911e-05,1.7003520377593748e-05,,,0.0,0.0,2.7142857723967088e-06,1.7142857749214663e-06,1.58333331122756,61.2903222494036,100.0,50.0,0.22580644498807204,0.22580644498807204,0.33316184401308013,False,0.0,,0,0.0,,
33,2021-05-19,SHIB-USD,1.5999999959603883e-05,1.5999999959603883e-05,6.000000212225132e-06,9.000000318337698e-06,3271067996,-43.75,1.2763304887418404e-05,1.5402816365742536e-05,,,0.0,6.999999641266186e-06,2.7142857723967088e-06,2.2142857492976224e-06,1.2258064584743356,55.07246390661282,100.0,50.0,0.10144927813225635,0.16362786156016418,0.250765543211338,False,0.0,,0,0.0,,
34,2021-05-20,SHIB-USD,9.000000318337698e-06,1.2000000424450263e-05,7.999999979801942e-06,9.999999747378752e-06,2507945867,11.111,1.1381652317398578e-05,1.432225304206978e-05,,,9.99999429041054e-07,0.0,2.7857143030424984e-06,2.2142857492976224e-06,1.2580645040623752,55.71428547763148,100.0,55.07246390661282,0.01428570597961478,0.05786749205593556,0.1418369685220038,False,0.0,,0,0.0,,
35,2021-05-21,SHIB-USD,9.999999747378752e-06,9.999999747378752e-06,7.000000096013537e-06,7.999999979801942e-06,1547207565,-20.0,9.69082614860026e-06,1.3057802429616213e-05,,,0.0,1.99999976757681e-06,2.7142857236737783e-06,2.3571428755531088e-06,1.1515151465041613,53.52112665231168,100.0,53.52112665231168,0.0,0.00714285298980739,0.0853853572749858,False,0.0,,0,0.0,,
36,2021-05-22,SHIB-USD,7.999999979801942e-06,9.999999747378752e-06,7.000000096013537e-06,7.999999979801942e-06,1229821215,0.0,8.8454130642011e-06,1.204624193965336e-05,,,0.0,0.0,1.7857143055672559e-06,2.3571428755531088e-06,0.7575757600812526,43.1034483569704,100.0,43.1034483569704,0.0,0.0,0.02893374602796778,False,0.0,,0,0.0,,
37,2021-05-23,SHIB-USD,7.999999979801942e-06,9.999999747378752e-06,7.000000096013537e-06,7.999999979801942e-06,1585032040,0.0,8.42270652200152e-06,1.1236993547683076e-05,,,0.0,0.0,1.7857143055672559e-06,2.3571428755531088e-06,0.7575757600812526,43.1034483569704,100.0,43.1034483569704,0.0,0.0,0.003571426494903695,False,0.0,,0,0.0,,
38,2021-05-24,SHIB-USD,7.999999979801942e-06,1.2000000424450263e-05,7.999999979801942e-06,1.1000000085914508e-05,2179651359,37.5,9.711353303958015e-06,1.1189594855329363e-05,,,3.000000106112566e-06,0.0,6.428571006316426e-07,2.3571428755531088e-06,0.2727272526833125,21.428570191163658,89.47368128175201,21.428570191163658,0.0,0.0,0.0,False,0.0,,0,0.0,,
